2026-07-12 00:01:23 [INFO] api.auto_dub_api: Task 847b3fa894544602bfb3bd0c69f4d1b6: streaming voice done — synthesized=20 failed=0 ms=5680.6
2026-07-12 00:01:31 [INFO] tubedub.tts_handoff: [TTS] task=847b3fa894544602bfb3bd0c69f4d1b6
idx=0 text_len=69 tts_file=slot_0_91fb8a82_fit.wav tts_dur_ms=5183 place_start=0 place_end=4960 slot_ms=4960 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=6 text_len=109 tts_file=slot_6_ec6cae9f_fit.wav tts_dur_ms=7132 place_start=56720 place_end=62320 slot_ms=5600 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=7 text_len=183 tts_file=slot_7_7e5a69c8_fit.wav tts_dur_ms=11729 place_start=62320 place_end=73120 slot_ms=10800 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=9 text_len=123 tts_file=slot_9_599e5626_fit.wav tts_dur_ms=7933 place_start=76880 place_end=84720 slot_ms=7840 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=10 text_len=208 tts_file=slot_10_9ec7ad9b_fit.wav tts_dur_ms=14187 place_start=84720 place_end=97280 slot_ms=12560 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=11 text_len=82 tts_file=slot_11_bfa1c29a_fit.wav tts_dur_ms=5850 place_start=97280 place_end=102560 slot_ms=5280 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=12 text_len=212 tts_file=slot_12_b36a4ba8_fit.wav tts_dur_ms=14224 place_start=102560 place_end=112640 slot_ms=10080 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=13 text_len=92 tts_file=slot_13_194352da_fit.wav tts_dur_ms=5803 place_start=112640 place_end=116960 slot_ms=4320 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=14 text_len=192 tts_file=slot_14_31c55d52_fit.wav tts_dur_ms=11830 place_start=116960 place_end=127920 slot_ms=10960 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=15 text_len=232 tts_file=slot_15_53ed1b06_fit.wav tts_dur_ms=16432 place_start=127920 place_end=138800 slot_ms=10880 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
